中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,等效带宽数值
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,78 ms,412 Mbps,52736 kB/s,412.0
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,75 ms,371 Mbps,47513 kB/s,371.0
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,81 ms,328 Mbps,42086 kB/s,328.0
141.144.241.13,443,163.123.193.5,DE,Frankfurt,隧道,103 ms,285 Mbps,36556 kB/s,285.0
158.101.222.4,443,98.98.166.174,US,Frankfurt,隧道,109 ms,264 Mbps,33894 kB/s,264.0
141.144.202.20,443,163.123.193.8,DE,Frankfurt,隧道,105 ms,253 Mbps,32460 kB/s,253.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,116 ms,248 Mbps,31744 kB/s,248.0
